id,key,value,type
24445245,street,Pergolessi,addr
24445245,highway,residential,regular
25351197,highway,residential,regular
25351197,street,Carelmapu,addr
25351197,surface,asphalt,regular
28117363,highway,residential,regular
28117363,street,Arturo Alessandri,addr
28117363,surface,asphalt,regular
37183469,layer,1,regular
37183469,bridge,yes,regular
37183469,highway,footway,regular
41373426,highway,residential,regular
41373426,street,El Timbal,addr
41373426,oneway,no,regular
41373426,source,Instituto Nacional de Estadisticas (INE) http://www.ine.cl/,regular
41373426,surface,asphalt,regular
51696284,source,yahoo,regular
51696284,building,yes,regular
88777135,street,El Pastizal,addr
88777135,oneway,yes,regular
88777135,highway,residential,regular
108237002,id_origin,111611,regular
108237002,interpolation,even,addr
108464241,id_origin,60555,regular
108464241,interpolation,even,addr
108498901,id_origin,5767,regular
108498901,interpolation,even,addr
108524993,id_origin,80972,regular
108524993,interpolation,even,addr
108607351,id_origin,70038,regular
108607351,interpolation,even,addr
108643240,id_origin,144582,regular
108643240,interpolation,even,addr
108687019,interpolation,odd,addr
109091258,interpolation,even,addr
109102541,interpolation,odd,addr
109139562,interpolation,even,addr
109163231,interpolation,even,addr
109275928,interpolation,even,addr
109312877,interpolation,even,addr
109401275,interpolation,even,addr
109452655,interpolation,odd,addr
110308788,id_origin,85494,regular
110308788,interpolation,even,addr
110577357,interpolation,even,addr
110760068,interpolation,odd,addr
110932091,interpolation,odd,addr
111842466,id_origin,59628,regular
111842466,interpolation,odd,addr
112603667,interpolation,odd,addr
135898228,aeroway,hangar,regular
135898228,building,yes,regular
158545718,barrier,wall,regular
173298572,street,Caldera,addr
173298572,highway,residential,regular
177403933,street,El Surco,addr
177403933,highway,living_street,regular
187401319,barrier,wall,regular
207728688,city,Las Condes,addr
207728688,country,CL,addr
207728688,housenumber,1133,addr
207728688,street,Montealegre,addr
207728688,building,yes,regular
207728688,levels,4,building
229010931,highway,residential,regular
229010931,street,Matias Cousiño,addr
229010931,surface,asphalt,regular
245330380,street,Torre de Control,addr
245330380,service,aircraft_control,regular
245330380,building,yes,regular
245330380,man_made,tower,regular
279264644,street,Jardin Infantil Carolina,addr
279264644,amenity,kindergarten,regular
279264644,building,yes,regular
279264644,street,Avenida Francisco Bilbao,addr
279264644,housenumber,2480,addr
296963581,barrier,wall,regular
319791328,street,Pasaje Berenice,addr
319791328,highway,pedestrian,regular
327178500,highway,secondary_link,regular
327178500,lanes,1,regular
327178500,oneway,yes,regular
327178500,surface,asphalt,regular
351906989,highway,primary,regular
351906989,lanes,1,regular
351906989,street,San Pablo,addr
351906989,oneway,yes,regular
351906989,surface,asphalt,regular
390439578,sport,soccer,regular
390439578,leisure,pitch,regular
442074767,highway,residential,regular
442074767,street,Balmaceda,addr
445776844,leisure,pitch,regular
445776844,sport,tennis,regular
447239135,street,Curicó,addr
447239135,building,yes,regular
447239135,street,Car House Auto,addr
447239135,shop,car,regular
447239135,source,Reconocimiento cartográfico 2016 por KG.,regular
448718213,city,Cerrillos,addr
448718213,street,Avenida Lo Errazuriz,addr
448718213,amenity,place_of_worship,regular
448718213,area,yes,regular
448718213,building,yes,regular
448718213,denomination,catholic,regular
448718213,street,Iglesia Católica Capilla Jesús Agua Viva,addr
448718213,religion,christian,regular
448718213,Source,Reconocimiento cartográfico por KG 2016,regular
450532957,city,La Reina,addr
450532957,housenumber,6958,addr
450532957,street,Avenida Príncipe de Gales,addr
450532957,building,yes,regular
450532957,levels,1,building
450532957,street,El Ingenio,addr
450532957,shop,confectionery,regular
